order_id,customer_id,product_id,product_name,category,price,quantity,order_timestamp,country
ORD-000001,CUST-10001,PROD-501,iPhone 15 Pro Max,Electronics,1199.99,1,2024-01-15 09:23:45,United States
ORD-000002,CUST-10002,PROD-502,Samsung Galaxy S24,Electronics,899.99,2,2024-01-15 09:45:12,Canada
ORD-000003,CUST-10003,PROD-601,Nike Air Max 270,Footwear,150.00,1,2024-01-15 10:12:33,United Kingdom
ORD-000004,CUST-10004,PROD-701,Levi's 501 Jeans,Apparel,79.99,3,2024-01-15 10:34:56,Germany
ORD-000005,CUST-10005,PROD-801,Sony WH-1000XM5,Electronics,349.99,1,2024-01-15 11:05:22,France
ORD-000006,CUST-10001,PROD-503,MacBook Pro 16",Electronics,2499.99,1,2024-01-15 11:23:45,United States
ORD-000007,CUST-10006,PROD-602,Adidas Ultraboost,Footwear,180.00,2,2024-01-15 11:45:00,Australia
ORD-000008,CUST-10007,PROD-702,Ralph Lauren Polo,Apparel,89.99,4,2024-01-15 12:10:15,Japan
ORD-000009,CUST-10008,PROD-901,Dyson V15 Detect,Home & Garden,749.99,1,2024-01-15 12:30:45,United States
ORD-000010,CUST-10009,PROD-902,iRobot Roomba j7+,Home & Garden,599.99,1,2024-01-15 13:00:00,Canada
ORD-000011,CUST-10010,PROD-504,iPad Pro 12.9",Electronics,1099.99,1,2024-01-15 13:25:30,United Kingdom
ORD-000012,CUST-10011,PROD-603,New Balance 990v5,Footwear,185.00,1,2024-01-15 13:45:00,Germany
ORD-000013,CUST-10012,PROD-703,Tommy Hilfiger Jacket,Apparel,199.99,2,2024-01-15 14:10:22,France
ORD-000014,CUST-10013,PROD-505,Dell XPS 15,Electronics,1799.99,1,2024-01-15 14:35:45,Australia
ORD-000015,CUST-10014,PROD-903,Ninja Foodi Grill,Home & Garden,229.99,1,2024-01-15 15:00:00,Japan
ORD-000016,CUST-10015,PROD-604,Puma RS-X,Footwear,110.00,2,2024-01-15 15:25:15,United States
ORD-000017,CUST-10016,PROD-704,Calvin Klein T-Shirt,Apparel,49.99,5,2024-01-15 15:45:30,Canada
ORD-000018,CUST-10017,PROD-506,AirPods Pro 2,Electronics,249.99,2,2024-01-15 16:10:00,United Kingdom
ORD-000019,CUST-10018,PROD-904,KitchenAid Mixer,Home & Garden,449.99,1,2024-01-15 16:35:22,Germany
ORD-000020,CUST-10019,PROD-605,Reebok Classic,Footwear,85.00,3,2024-01-15 17:00:45,France
ORD-000021,CUST-10020,PROD-705,Zara Dress,Apparel,69.99,2,2024-01-16 08:15:00,Australia
ORD-000022,CUST-10001,PROD-507,Apple Watch Ultra 2,Electronics,799.99,1,2024-01-16 08:45:30,United States
ORD-000023,CUST-10021,PROD-606,Converse Chuck Taylor,Footwear,65.00,4,2024-01-16 09:10:15,Japan
ORD-000024,CUST-10022,PROD-706,H&M Hoodie,Apparel,39.99,3,2024-01-16 09:35:00,United States
ORD-000025,CUST-10023,PROD-905,Vitamix Blender,Home & Garden,549.99,1,2024-01-16 10:00:22,Canada
ORD-000026,CUST-10024,PROD-508,PlayStation 5,Electronics,499.99,1,2024-01-16 10:25:45,United Kingdom
ORD-000027,CUST-10025,PROD-607,Vans Old Skool,Footwear,70.00,2,2024-01-16 10:50:00,Germany
ORD-000028,CUST-10026,PROD-707,Gap Sweater,Apparel,59.99,2,2024-01-16 11:15:30,France
ORD-000029,CUST-10027,PROD-509,Nintendo Switch OLED,Electronics,349.99,1,2024-01-16 11:40:15,Australia
ORD-000030,CUST-10028,PROD-906,Instant Pot Duo,Home & Garden,89.99,2,2024-01-16 12:05:00,Japan
ORD-000031,CUST-10029,PROD-608,ASICS Gel-Kayano,Footwear,160.00,1,2024-01-16 12:30:22,United States
ORD-000032,CUST-10030,PROD-708,Uniqlo Down Jacket,Apparel,129.99,1,2024-01-16 12:55:45,Canada
ORD-000033,CUST-10031,PROD-510,Bose QC Ultra,Electronics,429.99,1,2024-01-16 13:20:00,United Kingdom
ORD-000034,CUST-10032,PROD-609,Brooks Ghost 15,Footwear,140.00,2,2024-01-16 13:45:30,Germany
ORD-000035,CUST-10033,PROD-709,Banana Republic Blazer,Apparel,249.99,1,2024-01-16 14:10:15,France
ORD-000036,CUST-10034,PROD-511,GoPro Hero 12,Electronics,399.99,1,2024-01-16 14:35:00,Australia
ORD-000037,CUST-10035,PROD-907,Breville Espresso,Home & Garden,699.99,1,2024-01-16 15:00:22,Japan
ORD-000038,CUST-10036,PROD-610,Saucony Triumph,Footwear,150.00,1,2024-01-16 15:25:45,United States
ORD-000039,CUST-10037,PROD-710,Patagonia Fleece,Apparel,169.99,2,2024-01-16 15:50:00,Canada
ORD-000040,CUST-10038,PROD-512,DJI Mini 3 Pro,Electronics,759.99,1,2024-01-16 16:15:30,United Kingdom
ORD-000041,CUST-10039,PROD-611,Hoka Bondi 8,Footwear,165.00,1,2024-01-17 08:00:15,Germany
ORD-000042,CUST-10040,PROD-711,North Face Jacket,Apparel,299.99,1,2024-01-17 08:25:00,France
ORD-000043,CUST-10041,PROD-908,Philips Air Fryer,Home & Garden,199.99,1,2024-01-17 08:50:22,Australia
ORD-000044,CUST-10042,PROD-513,Canon EOS R6 II,Electronics,2499.99,1,2024-01-17 09:15:45,Japan
ORD-000045,CUST-10043,PROD-612,On Cloud 5,Footwear,149.99,2,2024-01-17 09:40:00,United States
ORD-000046,CUST-10044,PROD-712,Columbia Parka,Apparel,189.99,1,2024-01-17 10:05:30,Canada
ORD-000047,CUST-10045,PROD-514,Sony A7 IV,Electronics,2499.99,1,2024-01-17 10:30:15,United Kingdom
ORD-000048,CUST-10046,PROD-909,Cuisinart Food Processor,Home & Garden,179.99,1,2024-01-17 10:55:00,Germany
ORD-000049,CUST-10047,PROD-613,Salomon Speedcross,Footwear,135.00,1,2024-01-17 11:20:22,France
ORD-000050,CUST-10048,PROD-713,Carhartt Work Jacket,Apparel,149.99,2,2024-01-17 11:45:45,Australia
ORD-000051,CUST-10002,PROD-515,LG C3 OLED 65",Electronics,1499.99,1,2024-01-17 12:10:00,Japan
ORD-000052,CUST-10049,PROD-614,Merrell Moab 3,Footwear,130.00,1,2024-01-17 12:35:30,United States
ORD-000053,CUST-10050,PROD-714,Arc'teryx Shell,Apparel,599.99,1,2024-01-17 13:00:15,Canada
ORD-000054,CUST-10003,PROD-910,Le Creuset Dutch Oven,Home & Garden,369.99,1,2024-01-17 13:25:00,United Kingdom
ORD-000055,CUST-10051,PROD-516,Samsung 85" QLED,Electronics,2799.99,1,2024-01-17 13:50:22,Germany
ORD-000056,CUST-10052,PROD-615,Timberland Boots,Footwear,189.99,1,2024-01-17 14:15:45,France
ORD-000057,CUST-10053,PROD-715,Moncler Vest,Apparel,895.00,1,2024-01-17 14:40:00,Australia
ORD-000058,CUST-10054,PROD-517,Sonos Arc,Electronics,899.99,1,2024-01-17 15:05:30,Japan
ORD-000059,CUST-10055,PROD-911,Staub Cocotte,Home & Garden,299.99,1,2024-01-17 15:30:15,United States
ORD-000060,CUST-10056,PROD-616,Dr. Martens 1460,Footwear,170.00,2,2024-01-17 15:55:00,Canada
ORD-000061,CUST-10057,PROD-716,Burberry Scarf,Apparel,470.00,1,2024-01-18 08:20:22,United Kingdom
ORD-000062,CUST-10058,PROD-518,Marshall Stanmore II,Electronics,349.99,1,2024-01-18 08:45:45,Germany
ORD-000063,CUST-10059,PROD-617,UGG Classic Mini,Footwear,150.00,2,2024-01-18 09:10:00,France
ORD-000064,CUST-10060,PROD-717,Barbour Jacket,Apparel,425.00,1,2024-01-18 09:35:30,Australia
ORD-000065,CUST-10061,PROD-912,All-Clad Cookware Set,Home & Garden,699.99,1,2024-01-18 10:00:15,Japan
ORD-000066,CUST-10062,PROD-519,Beats Studio Pro,Electronics,349.99,1,2024-01-18 10:25:00,United States
ORD-000067,CUST-10063,PROD-618,Clarks Desert Boot,Footwear,160.00,1,2024-01-18 10:50:22,Canada
ORD-000068,CUST-10064,PROD-718,Ted Baker Shirt,Apparel,145.00,2,2024-01-18 11:15:45,United Kingdom
ORD-000069,CUST-10065,PROD-913,Wolf Blender,Home & Garden,549.99,1,2024-01-18 11:40:00,Germany
ORD-000070,CUST-10066,PROD-520,Roku Ultra,Electronics,99.99,2,2024-01-18 12:05:30,France
ORD-000071,CUST-10067,PROD-619,Birkenstock Arizona,Footwear,110.00,2,2024-01-18 12:30:15,Australia
ORD-000072,CUST-10068,PROD-719,Paul Smith Suit,Apparel,1299.99,1,2024-01-18 12:55:00,Japan
ORD-000073,CUST-10069,PROD-914,Smeg Toaster,Home & Garden,199.99,1,2024-01-18 13:20:22,United States
ORD-000074,CUST-10070,PROD-521,Kindle Paperwhite,Electronics,149.99,3,2024-01-18 13:45:45,Canada
ORD-000075,CUST-10071,PROD-620,Blundstone 500,Footwear,199.99,1,2024-01-18 14:10:00,United Kingdom
ORD-000076,CUST-10072,PROD-720,Hugo Boss Pants,Apparel,195.00,1,2024-01-18 14:35:30,Germany
ORD-000077,CUST-10073,PROD-915,Nespresso Vertuo,Home & Garden,229.99,1,2024-01-18 15:00:15,France
ORD-000078,CUST-10074,PROD-522,Fire TV Stick 4K Max,Electronics,54.99,4,2024-01-18 15:25:00,Australia
ORD-000079,CUST-10004,PROD-621,Cole Haan Oxfords,Footwear,180.00,1,2024-01-18 15:50:22,Japan
ORD-000080,CUST-10075,PROD-721,Gucci Belt,Apparel,450.00,1,2024-01-18 16:15:45,United States
ORD-000081,CUST-10076,PROD-916,Miele Vacuum,Home & Garden,649.99,1,2024-01-19 08:40:00,Canada
ORD-000082,CUST-10077,PROD-523,Samsung Frame TV 55",Electronics,1299.99,1,2024-01-19 09:05:30,United Kingdom
ORD-000083,CUST-10005,PROD-622,Allbirds Tree Runners,Footwear,98.00,2,2024-01-19 09:30:15,Germany
ORD-000084,CUST-10078,PROD-722,Lululemon Pants,Apparel,128.00,2,2024-01-19 09:55:00,France
ORD-000085,CUST-10079,PROD-917,Shark Navigator,Home & Garden,229.99,1,2024-01-19 10:20:22,Australia
ORD-000086,CUST-10080,PROD-524,Google Pixel 8 Pro,Electronics,999.99,1,2024-01-19 10:45:45,Japan
ORD-000087,CUST-10081,PROD-623,Keen Newport H2,Footwear,135.00,1,2024-01-19 11:10:00,United States
ORD-000088,CUST-10082,PROD-723,Alo Yoga Set,Apparel,198.00,1,2024-01-19 11:35:30,Canada
ORD-000089,CUST-10083,PROD-918,Bissell CrossWave,Home & Garden,299.99,1,2024-01-19 12:00:15,United Kingdom
ORD-000090,CUST-10084,PROD-525,Logitech MX Master 3S,Electronics,99.99,2,2024-01-19 12:25:00,Germany
ORD-000091,CUST-10085,PROD-624,Teva Hurricane XLT2,Footwear,80.00,2,2024-01-19 12:50:22,France
ORD-000092,CUST-10086,PROD-724,Reformation Dress,Apparel,248.00,1,2024-01-19 13:15:45,Australia
ORD-000093,CUST-10087,PROD-919,Eufy RoboVac,Home & Garden,279.99,1,2024-01-19 13:40:00,Japan
ORD-000094,CUST-10088,PROD-526,Razer BlackWidow V4,Electronics,169.99,1,2024-01-19 14:05:30,United States
ORD-000095,CUST-10089,PROD-625,Sperry Top-Sider,Footwear,95.00,2,2024-01-19 14:30:15,Canada
ORD-000096,CUST-10090,PROD-725,Everlane Jeans,Apparel,88.00,2,2024-01-19 14:55:00,United Kingdom
ORD-000097,CUST-10091,PROD-920,Dyson Pure Cool,Home & Garden,549.99,1,2024-01-19 15:20:22,Germany
ORD-000098,CUST-10092,PROD-527,SteelSeries Arctis Nova,Electronics,179.99,1,2024-01-19 15:45:45,France
ORD-000099,CUST-10093,PROD-626,Sorel Caribou,Footwear,175.00,1,2024-01-19 16:10:00,Australia
ORD-000100,CUST-10094,PROD-726,Faherty Shirt,Apparel,158.00,1,2024-01-19 16:35:30,Japan
ORD-000101,CUST-10095,PROD-921,Theragun Pro,Home & Garden,599.99,1,2024-01-20 08:00:15,United States
ORD-000102,CUST-10096,PROD-528,Elgato Stream Deck,Electronics,149.99,1,2024-01-20 08:25:00,Canada
ORD-000103,CUST-10097,PROD-627,Hunter Rain Boots,Footwear,165.00,1,2024-01-20 08:50:22,United Kingdom
ORD-000104,CUST-10098,PROD-727,Theory Blazer,Apparel,495.00,1,2024-01-20 09:15:45,Germany
ORD-000105,CUST-10099,PROD-922,Peloton Bike+,Home & Garden,2495.00,1,2024-01-20 09:40:00,France
ORD-000106,CUST-10100,PROD-529,Corsair K100 RGB,Electronics,229.99,1,2024-01-20 10:05:30,Australia
ORD-000107,CUST-10006,PROD-628,Ecco Soft 7,Footwear,160.00,1,2024-01-20 10:30:15,Japan
ORD-000108,CUST-10101,PROD-728,Vince Cashmere,Apparel,385.00,1,2024-01-20 10:55:00,United States
ORD-000109,CUST-10102,PROD-923,NordicTrack Treadmill,Home & Garden,1799.99,1,2024-01-20 11:20:22,Canada
ORD-000110,CUST-10103,PROD-530,ASUS ROG Swift,Electronics,999.99,1,2024-01-20 11:45:45,United Kingdom
ORD-000111,CUST-10104,PROD-629,Dansko Professional,Footwear,135.00,2,2024-01-20 12:10:00,Germany
ORD-000112,CUST-10105,PROD-729,Sandro Coat,Apparel,695.00,1,2024-01-20 12:35:30,France
ORD-000113,CUST-10106,PROD-924,Bowflex SelectTech,Home & Garden,549.99,1,2024-01-20 13:00:15,Australia
ORD-000114,CUST-10107,PROD-531,LG UltraGear 27",Electronics,349.99,1,2024-01-20 13:25:00,Japan
ORD-000115,CUST-10108,PROD-630,La Canadienne Boots,Footwear,295.00,1,2024-01-20 13:50:22,United States
ORD-000116,CUST-10109,PROD-730,Rag & Bone Jacket,Apparel,595.00,1,2024-01-20 14:15:45,Canada
ORD-000117,CUST-10110,PROD-925,Hyperice Hypervolt,Home & Garden,349.99,1,2024-01-20 14:40:00,United Kingdom
ORD-000118,CUST-10111,PROD-532,Samsung Odyssey G9,Electronics,1299.99,1,2024-01-20 15:05:30,Germany
ORD-000119,CUST-10112,PROD-631,Stuart Weitzman,Footwear,495.00,1,2024-01-20 15:30:15,France
ORD-000120,CUST-10113,PROD-731,Stussy Hoodie,Apparel,145.00,2,2024-01-20 15:55:00,Australia
